timestamp_iso,red,N,L,rkk,px1,rho_kx_obj,rho_kx_fin,frac_mayoria,t_cargar_s,t_precompute_s,t_asignar_attrs_s,t_mayoria_s,seed
2025-11-07T16:28:43-03:00,Enron,33696,180811,-0.116499,0.05,0.00,-0.001464,0.012672,1.747059,0.017477,0.001875,0.076087,12021974
2025-11-07T16:28:44-03:00,Enron,33696,180811,-0.116499,0.05,0.07,+0.056672,0.034693,1.747059,0.017477,1.005226,0.088549,12021974
2025-11-07T16:28:46-03:00,Enron,33696,180811,-0.116499,0.05,0.13,+0.123460,0.064518,1.747059,0.017477,2.383446,0.080129,12021974
2025-11-07T16:28:51-03:00,Enron,33696,180811,-0.116499,0.05,0.20,+0.190165,0.128175,1.747059,0.017477,4.271404,0.069823,12021974
2025-11-07T16:28:55-03:00,Enron,33696,180811,-0.116499,0.05,0.27,+0.179761,0.077368,1.747059,0.017477,4.393487,0.068004,12021974
2025-11-07T16:28:59-03:00,Enron,33696,180811,-0.116499,0.05,0.33,+0.192393,0.099923,1.747059,0.017477,4.378301,0.077327,12021974
2025-11-07T16:29:04-03:00,Enron,33696,180811,-0.116499,0.05,0.40,+0.195929,0.083482,1.747059,0.017477,4.553667,0.090431,12021974
2025-11-07T16:29:09-03:00,Enron,33696,180811,-0.116499,0.05,0.47,+0.193958,0.126603,1.747059,0.017477,4.722090,0.081325,12021974
2025-11-07T16:29:14-03:00,Enron,33696,180811,-0.116499,0.05,0.53,+0.199406,0.124139,1.747059,0.017477,5.381809,0.093936,12021974
2025-11-07T16:29:19-03:00,Enron,33696,180811,-0.116499,0.05,0.60,+0.200555,0.098439,1.747059,0.017477,4.689702,0.109040,12021974
2025-11-07T16:28:43-03:00,Enron,33696,180811,-0.116499,0.10,0.00,-0.009531,0.024573,1.678439,0.018125,0.001831,0.072447,12021974
2025-11-07T16:28:44-03:00,Enron,33696,180811,-0.116499,0.10,0.07,+0.056828,0.095293,1.678439,0.018125,0.979198,0.071228,12021974
2025-11-07T16:28:47-03:00,Enron,33696,180811,-0.116499,0.10,0.13,+0.123413,0.105116,1.678439,0.018125,3.147212,0.085236,12021974
2025-11-07T16:28:51-03:00,Enron,33696,180811,-0.116499,0.10,0.20,+0.153942,0.167112,1.678439,0.018125,4.344135,0.103512,12021974
2025-11-07T16:28:56-03:00,Enron,33696,180811,-0.116499,0.10,0.27,+0.159367,0.163758,1.678439,0.018125,4.318913,0.071958,12021974
2025-11-07T16:29:00-03:00,Enron,33696,180811,-0.116499,0.10,0.33,+0.147726,0.109687,1.678439,0.018125,4.639116,0.069780,12021974
2025-11-07T16:29:05-03:00,Enron,33696,180811,-0.116499,0.10,0.40,+0.160754,0.145032,1.678439,0.018125,4.344042,0.099022,12021974
2025-11-07T16:29:10-03:00,Enron,33696,180811,-0.116499,0.10,0.47,+0.150918,0.102416,1.678439,0.018125,4.679604,0.089131,12021974
2025-11-07T16:29:15-03:00,Enron,33696,180811,-0.116499,0.10,0.53,+0.154345,0.126128,1.678439,0.018125,5.392225,0.098406,12021974
2025-11-07T16:29:20-03:00,Enron,33696,180811,-0.116499,0.10,0.60,+0.162556,0.144884,1.678439,0.018125,4.649604,0.106792,12021974
2025-11-07T16:28:43-03:00,Enron,33696,180811,-0.116499,0.20,0.00,+0.009966,0.076092,1.673895,0.018699,0.010789,0.090827,12021974
