alpha,r_kk,rho_kx,frac_majority_illusion
2.1,-0.35,0.0,0.024
2.1,-0.35,0.15,0.082
2.1,-0.35,0.3,0.149
2.1,-0.35,0.44999999999999996,0.221
2.1,-0.35,0.6,0.269
2.1,-0.25,0.0,0.032
2.1,-0.25,0.15,0.072
2.1,-0.25,0.3,0.134
2.1,-0.25,0.44999999999999996,0.2
2.1,-0.25,0.6,0.244
2.1,-0.15,0.0,0.029
2.1,-0.15,0.15,0.075
2.1,-0.15,0.3,0.116
2.1,-0.15,0.44999999999999996,0.17
2.1,-0.15,0.6,0.22
2.1,-0.05,0.0,0.031
2.1,-0.05,0.15,0.08
2.1,-0.05,0.3,0.103
2.1,-0.05,0.44999999999999996,0.14
2.1,-0.05,0.6,0.182
2.4,-0.2,0.0,0.036
2.4,-0.2,0.15,0.087
2.4,-0.2,0.3,0.137
2.4,-0.2,0.44999999999999996,0.185
2.4,-0.2,0.6,0.214
2.4,-0.1,0.0,0.04
2.4,-0.1,0.15,0.083
2.4,-0.1,0.3,0.116
2.4,-0.1,0.44999999999999996,0.146
2.4,-0.1,0.6,0.203
2.4,0.0,0.0,0.033
2.4,0.0,0.15,0.076
2.4,0.0,0.3,0.109
2.4,0.0,0.44999999999999996,0.142
2.4,0.0,0.6,0.171
2.4,0.1,0.0,0.04
2.4,0.1,0.15,0.054
2.4,0.1,0.3,0.093
2.4,0.1,0.44999999999999996,0.132
2.4,0.1,0.6,0.156
2.4,0.2,0.0,0.036
2.4,0.2,0.15,0.053
2.4,0.2,0.3,0.069
2.4,0.2,0.44999999999999996,0.116
2.4,0.2,0.6,0.134
3.1,-0.15,0.0,0.047
3.1,-0.15,0.15,0.075
3.1,-0.15,0.3,0.097
3.1,-0.15,0.44999999999999996,0.139
3.1,-0.15,0.6,0.154
3.1,-0.05,0.0,0.034
3.1,-0.05,0.15,0.067
3.1,-0.05,0.3,0.083
3.1,-0.05,0.44999999999999996,0.117
3.1,-0.05,0.6,0.147
3.1,0.0,0.0,0.04
3.1,0.0,0.15,0.066
3.1,0.0,0.3,0.084
3.1,0.0,0.44999999999999996,0.109
3.1,0.0,0.6,0.135
3.1,0.3,0.0,0.038
3.1,0.3,0.15,0.057
3.1,0.3,0.3,0.066
3.1,0.3,0.44999999999999996,0.077
3.1,0.3,0.6,0.084
