timestamp_iso,red,N,L,rkk,px1,rho_kx_obj,rho_kx_fin,frac_mayoria,t_cargar_s,t_precompute_s,t_asignar_attrs_s,t_mayoria_s,seed
2025-11-07T23:19:59-03:00,Blogs,1222,16714,-0.221329,0.05,0.00,-0.002707,0.004092,0.197749,0.001256,0.004149,0.009205,12021974
2025-11-07T23:19:59-03:00,Blogs,1222,16714,-0.221329,0.05,0.07,+0.057374,0.008183,0.197749,0.001256,0.009887,0.005389,12021974
2025-11-07T23:19:59-03:00,Blogs,1222,16714,-0.221329,0.05,0.13,+0.124501,0.013093,0.197749,0.001256,0.028809,0.005829,12021974
2025-11-07T23:19:59-03:00,Blogs,1222,16714,-0.221329,0.05,0.20,+0.192802,0.034370,0.197749,0.001256,0.044318,0.007790,12021974
2025-11-07T23:19:59-03:00,Blogs,1222,16714,-0.221329,0.05,0.27,+0.266093,0.022095,0.197749,0.001256,0.116124,0.009343,12021974
2025-11-07T23:19:59-03:00,Blogs,1222,16714,-0.221329,0.05,0.33,+0.340265,0.038462,0.197749,0.001256,0.114570,0.007975,12021974
2025-11-07T23:19:59-03:00,Blogs,1222,16714,-0.221329,0.05,0.40,+0.390170,0.045008,0.197749,0.001256,0.124295,0.004156,12021974
2025-11-07T23:19:59-03:00,Blogs,1222,16714,-0.221329,0.05,0.47,+0.456710,0.049100,0.197749,0.001256,0.140464,0.004988,12021974
2025-11-07T23:20:00-03:00,Blogs,1222,16714,-0.221329,0.05,0.53,+0.525011,0.051555,0.197749,0.001256,0.313755,0.003640,12021974
2025-11-07T23:20:00-03:00,Blogs,1222,16714,-0.221329,0.05,0.60,+0.592039,0.140753,0.197749,0.001256,0.408208,0.003692,12021974
2025-11-07T23:19:59-03:00,Blogs,1222,16714,-0.221329,0.10,0.00,-0.000237,0.010638,0.192462,0.001285,0.009053,0.007887,12021974
2025-11-07T23:19:59-03:00,Blogs,1222,16714,-0.221329,0.10,0.07,+0.057484,0.016367,0.192462,0.001285,0.033449,0.004595,12021974
2025-11-07T23:19:59-03:00,Blogs,1222,16714,-0.221329,0.10,0.13,+0.124375,0.021277,0.192462,0.001285,0.046978,0.007656,12021974
2025-11-07T23:19:59-03:00,Blogs,1222,16714,-0.221329,0.10,0.20,+0.190839,0.051555,0.192462,0.001285,0.125844,0.007975,12021974
2025-11-07T23:19:59-03:00,Blogs,1222,16714,-0.221329,0.10,0.27,+0.260857,0.053191,0.192462,0.001285,0.095643,0.007331,12021974
2025-11-07T23:19:59-03:00,Blogs,1222,16714,-0.221329,0.10,0.33,+0.323909,0.053191,0.192462,0.001285,0.086610,0.004178,12021974
2025-11-07T23:20:00-03:00,Blogs,1222,16714,-0.221329,0.10,0.40,+0.393359,0.086743,0.192462,0.001285,0.124604,0.003719,12021974
2025-11-07T23:20:00-03:00,Blogs,1222,16714,-0.221329,0.10,0.47,+0.464799,0.153846,0.192462,0.001285,0.139595,0.005543,12021974
2025-11-07T23:20:00-03:00,Blogs,1222,16714,-0.221329,0.10,0.53,+0.526074,0.148936,0.192462,0.001285,0.282560,0.005385,12021974
2025-11-07T23:20:00-03:00,Blogs,1222,16714,-0.221329,0.10,0.60,+0.601282,0.237316,0.192462,0.001285,0.501112,0.003628,12021974
2025-11-07T23:19:59-03:00,Blogs,1222,16714,-0.221329,0.20,0.00,-0.009257,0.029460,0.191912,0.001708,0.001097,0.007484,12021974
