alpha,r_kk,rho_kx,frac_majority_illusion
2.1,-0.35,0.0,0.033
2.1,-0.35,0.04285714285714286,0.054
2.1,-0.35,0.08571428571428572,0.069
2.1,-0.35,0.12857142857142856,0.093
2.1,-0.35,0.17142857142857143,0.101
2.1,-0.35,0.2142857142857143,0.131
2.1,-0.35,0.2571428571428571,0.146
2.1,-0.35,0.3,0.148
2.1,-0.35,0.34285714285714286,0.174
2.1,-0.35,0.38571428571428573,0.187
2.1,-0.35,0.4285714285714286,0.209
2.1,-0.35,0.4714285714285714,0.232
2.1,-0.35,0.5142857142857142,0.236
2.1,-0.35,0.5571428571428572,0.263
2.1,-0.35,0.6,0.284
2.1,-0.25,0.0,0.042
2.1,-0.25,0.04285714285714286,0.047
2.1,-0.25,0.08571428571428572,0.053
2.1,-0.25,0.12857142857142856,0.086
2.1,-0.25,0.17142857142857143,0.09
2.1,-0.25,0.2142857142857143,0.111
2.1,-0.25,0.2571428571428571,0.107
2.1,-0.25,0.3,0.144
2.1,-0.25,0.34285714285714286,0.142
2.1,-0.25,0.38571428571428573,0.165
2.1,-0.25,0.4285714285714286,0.168
2.1,-0.25,0.4714285714285714,0.19
2.1,-0.25,0.5142857142857142,0.204
2.1,-0.25,0.5571428571428572,0.245
2.1,-0.25,0.6,0.232
2.1,-0.15,0.0,0.028
2.1,-0.15,0.04285714285714286,0.045
2.1,-0.15,0.08571428571428572,0.054
2.1,-0.15,0.12857142857142856,0.077
2.1,-0.15,0.17142857142857143,0.068
2.1,-0.15,0.2142857142857143,0.097
2.1,-0.15,0.2571428571428571,0.111
2.1,-0.15,0.3,0.126
2.1,-0.15,0.34285714285714286,0.131
2.1,-0.15,0.38571428571428573,0.161
2.1,-0.15,0.4285714285714286,0.152
2.1,-0.15,0.4714285714285714,0.176
2.1,-0.15,0.5142857142857142,0.167
2.1,-0.15,0.5571428571428572,0.201
2.1,-0.15,0.6,0.215
2.1,-0.05,0.0,0.033
2.1,-0.05,0.04285714285714286,0.046
2.1,-0.05,0.08571428571428572,0.05
2.1,-0.05,0.12857142857142856,0.057
2.1,-0.05,0.17142857142857143,0.078
2.1,-0.05,0.2142857142857143,0.076
2.1,-0.05,0.2571428571428571,0.096
2.1,-0.05,0.3,0.098
