timestamp_iso,red,N,L,rkk,px1,rho_kx_obj,rho_kx_fin,frac_mayoria,t_cargar_s,t_precompute_s,t_asignar_attrs_s,t_mayoria_s,seed
2025-11-07T16:03:43-03:00,EnronCSV,1798,2822,-0.653303,0.05,0.00,-0.002280,0.040601,0.034992,0.000596,0.000517,0.002357,12021974
2025-11-07T16:03:43-03:00,EnronCSV,1798,2822,-0.653303,0.05,0.07,+0.060659,0.117353,0.034992,0.000596,0.080498,0.003785,12021974
2025-11-07T16:03:43-03:00,EnronCSV,1798,2822,-0.653303,0.05,0.13,+0.141484,0.228031,0.034992,0.000596,0.097518,0.003138,12021974
2025-11-07T16:03:43-03:00,EnronCSV,1798,2822,-0.653303,0.05,0.20,+0.197167,0.364294,0.034992,0.000596,0.131298,0.004414,12021974
2025-11-07T16:03:43-03:00,EnronCSV,1798,2822,-0.653303,0.05,0.27,+0.273606,0.488877,0.034992,0.000596,0.323264,0.006049,12021974
2025-11-07T16:03:44-03:00,EnronCSV,1798,2822,-0.653303,0.05,0.33,+0.324058,0.611235,0.034992,0.000596,0.316274,0.005074,12021974
2025-11-07T16:03:44-03:00,EnronCSV,1798,2822,-0.653303,0.05,0.40,+0.390541,0.726363,0.034992,0.000596,0.632513,0.002823,12021974
2025-11-07T16:03:46-03:00,EnronCSV,1798,2822,-0.653303,0.05,0.47,+0.460398,0.917686,0.034992,0.000596,1.293320,0.002480,12021974
2025-11-07T16:03:48-03:00,EnronCSV,1798,2822,-0.653303,0.05,0.53,+0.479803,0.963849,0.034992,0.000596,1.994251,0.002389,12021974
2025-11-07T16:03:50-03:00,EnronCSV,1798,2822,-0.653303,0.05,0.60,+0.497183,0.986096,0.034992,0.000596,1.994379,0.002420,12021974
2025-11-07T16:03:43-03:00,EnronCSV,1798,2822,-0.653303,0.10,0.00,+0.009926,0.126808,0.036745,0.000616,0.046002,0.004550,12021974
2025-11-07T16:03:43-03:00,EnronCSV,1798,2822,-0.653303,0.10,0.07,+0.076002,0.270300,0.036745,0.000616,0.035633,0.004247,12021974
2025-11-07T16:03:43-03:00,EnronCSV,1798,2822,-0.653303,0.10,0.13,+0.131412,0.317575,0.036745,0.000616,0.376179,0.004508,12021974
2025-11-07T16:03:44-03:00,EnronCSV,1798,2822,-0.653303,0.10,0.20,+0.209991,0.553949,0.036745,0.000616,0.272588,0.003332,12021974
2025-11-07T16:03:44-03:00,EnronCSV,1798,2822,-0.653303,0.10,0.27,+0.263195,0.699110,0.036745,0.000616,0.323880,0.002280,12021974
2025-11-07T16:03:45-03:00,EnronCSV,1798,2822,-0.653303,0.10,0.33,+0.323386,0.905451,0.036745,0.000616,0.588967,0.004198,12021974
2025-11-07T16:03:47-03:00,EnronCSV,1798,2822,-0.653303,0.10,0.40,+0.365189,0.988877,0.036745,0.000616,2.082036,0.003399,12021974
