timestamp_iso,red,N,L,rkk,px1,rho_kx_obj,rho_kx_fin,frac_mayoria,t_cargar_s,t_precompute_s,t_asignar_attrs_s,t_mayoria_s,seed
2025-11-07T22:59:14-03:00,HepTh,8638,24806,+0.238915,0.05,0.00,+0.008713,0.008335,0.241292,0.004732,0.019823,0.022868,12021974
2025-11-07T22:59:14-03:00,HepTh,8638,24806,+0.238915,0.05,0.07,+0.056878,0.013197,0.241292,0.004732,0.056392,0.022313,12021974
2025-11-07T22:59:14-03:00,HepTh,8638,24806,+0.238915,0.05,0.13,+0.123485,0.019102,0.241292,0.004732,0.252596,0.032303,12021974
2025-11-07T22:59:14-03:00,HepTh,8638,24806,+0.238915,0.05,0.20,+0.190174,0.018291,0.241292,0.004732,0.309166,0.016570,12021974
2025-11-07T22:59:15-03:00,HepTh,8638,24806,+0.238915,0.05,0.27,+0.256946,0.025816,0.241292,0.004732,0.461279,0.018592,12021974
2025-11-07T22:59:16-03:00,HepTh,8638,24806,+0.238915,0.05,0.33,+0.323471,0.030910,0.241292,0.004732,0.851804,0.020910,12021974
2025-11-07T22:59:17-03:00,HepTh,8638,24806,+0.238915,0.05,0.40,+0.390572,0.032878,0.241292,0.004732,1.063280,0.026887,12021974
2025-11-07T22:59:18-03:00,HepTh,8638,24806,+0.238915,0.05,0.47,+0.457097,0.037624,0.241292,0.004732,1.355689,0.013367,12021974
2025-11-07T22:59:20-03:00,HepTh,8638,24806,+0.238915,0.05,0.53,+0.523869,0.047465,0.241292,0.004732,1.638022,0.015263,12021974
2025-11-07T22:59:22-03:00,HepTh,8638,24806,+0.238915,0.05,0.60,+0.586195,0.054411,0.241292,0.004732,2.476092,0.013693,12021974
2025-11-07T22:59:14-03:00,HepTh,8638,24806,+0.238915,0.10,0.00,+0.009848,0.023038,0.295636,0.006721,0.006288,0.034909,12021974
2025-11-07T22:59:14-03:00,HepTh,8638,24806,+0.238915,0.10,0.07,+0.056742,0.029984,0.295636,0.006721,0.119507,0.024987,12021974
2025-11-07T22:59:14-03:00,HepTh,8638,24806,+0.238915,0.10,0.13,+0.123375,0.038435,0.295636,0.006721,0.208008,0.015664,12021974
2025-11-07T22:59:15-03:00,HepTh,8638,24806,+0.238915,0.10,0.20,+0.191922,0.045844,0.295636,0.006721,0.311293,0.016882,12021974
2025-11-07T22:59:15-03:00,HepTh,8638,24806,+0.238915,0.10,0.27,+0.257477,0.056031,0.295636,0.006721,0.568058,0.015086,12021974
2025-11-07T22:59:16-03:00,HepTh,8638,24806,+0.238915,0.10,0.33,+0.323751,0.067492,0.295636,0.006721,0.706696,0.024858,12021974
2025-11-07T22:59:17-03:00,HepTh,8638,24806,+0.238915,0.10,0.40,+0.391401,0.075365,0.295636,0.006721,1.008776,0.016533,12021974
2025-11-07T22:59:18-03:00,HepTh,8638,24806,+0.238915,0.10,0.47,+0.457256,0.091919,0.295636,0.006721,1.534026,0.016158,12021974
2025-11-07T22:59:20-03:00,HepTh,8638,24806,+0.238915,0.10,0.53,+0.523350,0.104075,0.295636,0.006721,1.927303,0.014736,12021974
