timestamp_iso,N,avg_k_obj,p,px1,rkk_obj,rkk_final,rho_kx_obj,rho_kx_final,frac_mayoria,t_generar_red_s,t_rewire_s,iters_rewire,t_asignar_attrs_s,swaps_attrs,t_mayoria_s,seed
2025-11-07T12:50:41-03:00,1000,5.20,0.005205,0.20,+0.00,-0.001077,0.00,-0.007994,0.044000,0.165092,0.033420,0,0.010841,10,0.009147,12021974
2025-11-07T12:50:41-03:00,1000,5.20,0.005205,0.20,+0.00,-0.001077,0.11,+0.105260,0.061000,0.165092,0.033420,0,0.119434,75,0.006536,12021974
2025-11-07T12:50:41-03:00,1000,5.20,0.005205,0.20,+0.00,-0.001077,0.23,+0.219625,0.066000,0.165092,0.033420,0,0.117660,189,0.005476,12021974
2025-11-07T12:50:42-03:00,1000,5.20,0.005205,0.20,+0.00,-0.001077,0.34,+0.332879,0.085000,0.165092,0.033420,0,0.304028,387,0.005601,12021974
2025-11-07T12:50:42-03:00,1000,5.20,0.005205,0.20,+0.00,-0.001077,0.46,+0.448354,0.108000,0.165092,0.033420,0,0.675984,694,0.011064,12021974
2025-11-07T12:50:44-03:00,1000,5.20,0.005205,0.20,+0.00,-0.001077,0.57,+0.561608,0.116000,0.165092,0.033420,0,1.252123,1064,0.006983,12021974
2025-11-07T12:50:47-03:00,1000,5.20,0.005205,0.20,+0.00,-0.001077,0.69,+0.677083,0.138000,0.165092,0.033420,0,3.085496,2523,0.024468,12021974
2025-11-07T12:50:57-03:00,1000,5.20,0.005205,0.20,+0.00,-0.001077,0.80,+0.731490,0.147000,0.165092,0.033420,0,10.064487,10000,0.005685,12021974
2025-11-07T12:50:43-03:00,1000,2.50,0.002503,0.20,+0.00,+0.014399,0.00,+0.004112,0.075000,0.194141,1.676597,34,0.001189,0,0.007056,12021974
2025-11-07T12:50:44-03:00,1000,2.50,0.002503,0.20,+0.00,+0.014399,0.11,+0.105329,0.088000,0.194141,1.676597,34,0.084602,88,0.006187,12021974
2025-11-07T12:50:44-03:00,1000,2.50,0.002503,0.20,+0.00,+0.014399,0.23,+0.219198,0.118000,0.194141,1.676597,34,0.309690,217,0.005127,12021974
2025-11-07T12:50:44-03:00,1000,2.50,0.002503,0.20,+0.00,+0.014399,0.34,+0.337811,0.137000,0.194141,1.676597,34,0.299618,413,0.005139,12021974
2025-11-07T12:50:45-03:00,1000,2.50,0.002503,0.20,+0.00,+0.014399,0.46,+0.448517,0.177000,0.194141,1.676597,34,0.542497,741,0.005407,12021974
2025-11-07T12:50:47-03:00,1000,2.50,0.002503,0.20,+0.00,+0.014399,0.57,+0.562386,0.197000,0.194141,1.676597,34,2.417395,1090,0.017024,12021974
2025-11-07T12:50:51-03:00,1000,2.50,0.002503,0.20,+0.00,+0.014399,0.69,+0.676255,0.210000,0.194141,1.676597,34,3.556237,2785,0.011850,12021974
2025-11-07T12:50:59-03:00,1000,2.50,0.002503,0.20,+0.00,+0.014399,0.80,+0.722119,0.242000,0.194141,1.676597,34,8.020985,10000,0.004010,12021974
2025-11-07T12:50:41-03:00,1000,5.20,0.005205,0.10,+0.00,-0.001077,0.00,-0.006810,0.008000,0.120768,0.018684,0,0.015014,5,0.014651,12021974
2025-11-07T12:50:41-03:00,1000,5.20,0.005205,0.10,+0.00,-0.001077,0.11,+0.107185,0.013000,0.120768,0.018684,0,0.043880,55,0.007557,12021974
2025-11-07T12:50:41-03:00,1000,5.20,0.005205,0.10,+0.00,-0.001077,0.23,+0.219699,0.016000,0.120768,0.018684,0,0.171673,187,0.003842,12021974
2025-11-07T12:50:41-03:00,1000,5.20,0.005205,0.10,+0.00,-0.001077,0.34,+0.335174,0.023000,0.120768,0.018684,0,0.188522,289,0.005661,12021974
2025-11-07T12:50:42-03:00,1000,5.20,0.005205,0.10,+0.00,-0.001077,0.46,+0.453610,0.031000,0.120768,0.018684,0,0.488359,557,0.005633,12021974
2025-11-07T12:50:43-03:00,1000,5.20,0.005205,0.10,+0.00,-0.001077,0.57,+0.561682,0.029000,0.120768,0.018684,0,1.273731,1730,0.009337,12021974
2025-11-07T12:50:54-03:00,1000,5.20,0.005205,0.10,+0.00,-0.001077,0.69,+0.628303,0.040000,0.120768,0.018684,0,10.765098,10000,0.003324,12021974
2025-11-07T12:51:01-03:00,1000,5.20,0.005205,0.10,+0.00,-0.001077,0.80,+0.628303,0.030000,0.120768,0.018684,0,7.523705,10000,0.007239,12021974
2025-11-07T12:50:43-03:00,1000,2.50,0.002503,0.10,+0.00,+0.014399,0.00,+0.008013,0.033000,0.158410,1.191854,34,0.008893,10,0.004965,12021974
2025-11-07T12:50:43-03:00,1000,2.50,0.002503,0.10,+0.00,+0.014399,0.11,+0.105012,0.031000,0.158410,1.191854,34,0.043547,64,0.004902,12021974
2025-11-07T12:50:43-03:00,1000,2.50,0.002503,0.10,+0.00,+0.014399,0.23,+0.218881,0.048000,0.158410,1.191854,34,0.125484,144,0.004745,12021974
2025-11-07T12:50:43-03:00,1000,2.50,0.002503,0.10,+0.00,+0.014399,0.34,+0.339076,0.067000,0.158410,1.191854,34,0.252963,328,0.009205,12021974
2025-11-07T12:50:44-03:00,1000,2.50,0.002503,0.10,+0.00,+0.014399,0.46,+0.448728,0.079000,0.158410,1.191854,34,0.494584,665,0.007018,12021974
2025-11-07T12:50:46-03:00,1000,2.50,0.002503,0.10,+0.00,+0.014399,0.57,+0.562597,0.097000,0.158410,1.191854,34,1.747527,1550,0.004640,12021974
2025-11-07T12:50:57-03:00,1000,2.50,0.002503,0.10,+0.00,+0.014399,0.69,+0.638510,0.096000,0.158410,1.191854,34,11.320615,10000,0.002970,12021974
2025-11-07T12:51:05-03:00,1000,2.50,0.002503,0.10,+0.00,+0.014399,0.80,+0.642727,0.093000,0.158410,1.191854,34,7.726681,10000,0.004765,12021974
2025-11-07T12:50:39-03:00,1000,5.20,0.005205,0.05,+0.00,-0.001077,0.00,-0.008763,0.000000,0.099548,0.020619,0,0.018623,28,0.005323,12021974
2025-11-07T12:50:39-03:00,1000,5.20,0.005205,0.05,+0.00,-0.001077,0.11,+0.105356,0.001000,0.099548,0.020619,0,0.034577,49,0.005645,12021974
2025-11-07T12:50:40-03:00,1000,5.20,0.005205,0.05,+0.00,-0.001077,0.23,+0.221512,0.010000,0.099548,0.020619,0,0.108100,147,0.004824,12021974
2025-11-07T12:50:40-03:00,1000,5.20,0.005205,0.05,+0.00,-0.001077,0.34,+0.333593,0.006000,0.099548,0.020619,0,0.245946,359,0.004938,12021974
2025-11-07T12:50:41-03:00,1000,5.20,0.005205,0.05,+0.00,-0.001077,0.46,+0.447711,0.011000,0.099548,0.020619,0,0.789788,1095,0.007032,12021974
2025-11-07T12:50:50-03:00,1000,5.20,0.005205,0.05,+0.00,-0.001077,0.57,+0.514960,0.009000,0.099548,0.020619,0,9.113006,10000,0.005973,12021974
2025-11-07T12:50:58-03:00,1000,5.20,0.005205,0.05,+0.00,-0.001077,0.69,+0.516997,0.009000,0.099548,0.020619,0,8.716525,10000,0.007479,12021974
2025-11-07T12:51:06-03:00,1000,5.20,0.005205,0.05,+0.00,-0.001077,0.80,+0.514960,0.010000,0.099548,0.020619,0,7.176988,10000,0.006473,12021974
2025-11-07T12:50:43-03:00,1000,2.50,0.002503,0.05,+0.00,+0.014399,0.00,-0.001742,0.016000,0.170203,1.146510,34,0.001282,0,0.005224,12021974
2025-11-07T12:50:43-03:00,1000,2.50,0.002503,0.05,+0.00,+0.014399,0.11,+0.105654,0.016000,0.170203,1.146510,34,0.023439,35,0.004897,12021974
