alpha,r_kk,rho_kx,frac_majority_illusion
2.1,-0.4,0.0,0.024
2.1,-0.4,0.15,0.098
2.1,-0.4,0.3,0.159
2.1,-0.4,0.44999999999999996,0.239
2.1,-0.4,0.6,0.301
2.1,-0.1,0.0,0.035
2.1,-0.1,0.15,0.067
2.1,-0.1,0.3,0.117
2.1,-0.1,0.44999999999999996,0.171
2.1,-0.1,0.6,0.211
2.1,0.1,0.0,0.034
2.1,0.1,0.15,0.057
2.1,0.1,0.3,0.082
2.1,0.1,0.44999999999999996,0.134
2.1,0.1,0.6,0.145
2.1,0.3,0.0,0.044
2.1,0.3,0.15,0.052
2.1,0.3,0.3,0.058
2.1,0.3,0.44999999999999996,0.077
2.1,0.3,0.6,0.09
2.4,-0.45,0.0,0.043
2.4,-0.45,0.15,0.109
2.4,-0.45,0.3,0.189
2.4,-0.45,0.44999999999999996,0.283
2.4,-0.45,0.6,0.357
2.4,-0.15,0.0,0.042
2.4,-0.15,0.15,0.085
2.4,-0.15,0.3,0.129
2.4,-0.15,0.44999999999999996,0.17
2.4,-0.15,0.6,0.222
2.4,0.05,0.0,0.034
2.4,0.05,0.15,0.075
2.4,0.05,0.3,0.103
2.4,0.05,0.44999999999999996,0.13
2.4,0.05,0.6,0.16
2.4,0.15,0.0,0.039
2.4,0.15,0.15,0.048
2.4,0.15,0.3,0.082
2.4,0.15,0.44999999999999996,0.115
2.4,0.15,0.6,0.129
3.1,-0.6,0.0,0.04
3.1,-0.6,0.15,0.081
3.1,-0.6,0.3,0.116
3.1,-0.6,0.44999999999999996,0.148
3.1,-0.6,0.6,0.194
3.1,-0.25,0.0,0.047
3.1,-0.25,0.15,0.081
3.1,-0.25,0.3,0.112
3.1,-0.25,0.44999999999999996,0.155
3.1,-0.25,0.6,0.192
3.1,0.05,0.0,0.034
3.1,0.05,0.15,0.063
3.1,0.05,0.3,0.079
3.1,0.05,0.44999999999999996,0.113
3.1,0.05,0.6,0.137
3.1,0.25,0.0,0.049
3.1,0.25,0.15,0.052
3.1,0.25,0.3,0.067
3.1,0.25,0.44999999999999996,0.074
3.1,0.25,0.6,0.085
