alpha,r_kk,rho_kx,frac_majority_illusion
2.1,-0.4,0.0,0.025
2.1,-0.4,0.15,0.093
2.1,-0.4,0.3,0.157
2.1,-0.4,0.44999999999999996,0.234
2.1,-0.4,0.6,0.288
2.1,-0.1,0.0,0.036
2.1,-0.1,0.15,0.062
2.1,-0.1,0.3,0.116
2.1,-0.1,0.44999999999999996,0.166
2.1,-0.1,0.6,0.202
2.1,0.1,0.0,0.032
2.1,0.1,0.15,0.058
2.1,0.1,0.3,0.087
2.1,0.1,0.44999999999999996,0.132
2.1,0.1,0.6,0.15
2.1,0.3,0.0,0.046
2.1,0.3,0.15,0.053
2.1,0.3,0.3,0.061
2.1,0.3,0.44999999999999996,0.079
2.1,0.3,0.6,0.097
2.4,-0.45,0.0,0.039
2.4,-0.45,0.15,0.113
2.4,-0.45,0.3,0.183
2.4,-0.45,0.44999999999999996,0.262
2.4,-0.45,0.6,0.329
2.4,-0.15,0.0,0.042
2.4,-0.15,0.15,0.085
2.4,-0.15,0.3,0.124
2.4,-0.15,0.44999999999999996,0.163
2.4,-0.15,0.6,0.213
2.4,0.05,0.0,0.034
2.4,0.05,0.15,0.076
2.4,0.05,0.3,0.105
2.4,0.05,0.44999999999999996,0.131
2.4,0.05,0.6,0.166
2.4,0.15,0.0,0.04
2.4,0.15,0.15,0.053
2.4,0.15,0.3,0.088
2.4,0.15,0.44999999999999996,0.119
2.4,0.15,0.6,0.136
3.1,-0.6,0.0,0.04
3.1,-0.6,0.15,0.081
3.1,-0.6,0.3,0.116
3.1,-0.6,0.44999999999999996,0.148
3.1,-0.6,0.6,0.194
3.1,-0.25,0.0,0.046
3.1,-0.25,0.15,0.081
3.1,-0.25,0.3,0.11
3.1,-0.25,0.44999999999999996,0.149
3.1,-0.25,0.6,0.186
3.1,0.05,0.0,0.034
3.1,0.05,0.15,0.063
3.1,0.05,0.3,0.079
3.1,0.05,0.44999999999999996,0.113
3.1,0.05,0.6,0.137
3.1,0.25,0.0,0.048
3.1,0.25,0.15,0.052
3.1,0.25,0.3,0.069
3.1,0.25,0.44999999999999996,0.076
3.1,0.25,0.6,0.095
