alpha,r_kk,rho_kx,frac_majority_illusion
2.1,-0.35,0.0,0.0265
2.1,-0.35,0.04285714285714286,0.0575
2.1,-0.35,0.08571428571428572,0.0785
2.1,-0.35,0.12857142857142856,0.0985
2.1,-0.35,0.17142857142857143,0.1195
2.1,-0.35,0.2142857142857143,0.125
2.1,-0.35,0.2571428571428571,0.171
2.1,-0.35,0.3,0.179
2.1,-0.35,0.34285714285714286,0.206
2.1,-0.35,0.38571428571428573,0.222
2.1,-0.35,0.4285714285714286,0.233
2.1,-0.35,0.4714285714285714,0.2755
2.1,-0.35,0.5142857142857142,0.29
2.1,-0.35,0.5571428571428572,0.319
2.1,-0.35,0.6,0.3265
2.1,-0.25,0.0,0.03
2.1,-0.25,0.04285714285714286,0.053
2.1,-0.25,0.08571428571428572,0.0625
2.1,-0.25,0.12857142857142856,0.0815
2.1,-0.25,0.17142857142857143,0.109
2.1,-0.25,0.2142857142857143,0.118
2.1,-0.25,0.2571428571428571,0.1435
2.1,-0.25,0.3,0.16
2.1,-0.25,0.34285714285714286,0.1805
2.1,-0.25,0.38571428571428573,0.1955
2.1,-0.25,0.4285714285714286,0.225
2.1,-0.25,0.4714285714285714,0.2305
2.1,-0.25,0.5142857142857142,0.257
2.1,-0.25,0.5571428571428572,0.2705
2.1,-0.25,0.6,0.278
2.1,-0.15,0.0,0.04
2.1,-0.15,0.04285714285714286,0.0455
2.1,-0.15,0.08571428571428572,0.066
2.1,-0.15,0.12857142857142856,0.0805
2.1,-0.15,0.17142857142857143,0.0935
2.1,-0.15,0.2142857142857143,0.1035
2.1,-0.15,0.2571428571428571,0.116
2.1,-0.15,0.3,0.1335
2.1,-0.15,0.34285714285714286,0.1505
2.1,-0.15,0.38571428571428573,0.1645
2.1,-0.15,0.4285714285714286,0.1845
2.1,-0.15,0.4714285714285714,0.194
2.1,-0.15,0.5142857142857142,0.217
2.1,-0.15,0.5571428571428572,0.2275
2.1,-0.15,0.6,0.2405
2.1,-0.05,0.0,0.035
2.1,-0.05,0.04285714285714286,0.0475
2.1,-0.05,0.08571428571428572,0.0615
2.1,-0.05,0.12857142857142856,0.0715
2.1,-0.05,0.17142857142857143,0.08
2.1,-0.05,0.2142857142857143,0.0965
2.1,-0.05,0.2571428571428571,0.115
2.1,-0.05,0.3,0.1225
2.1,-0.05,0.34285714285714286,0.133
2.1,-0.05,0.38571428571428573,0.1345
2.1,-0.05,0.4285714285714286,0.1545
2.1,-0.05,0.4714285714285714,0.1645
2.1,-0.05,0.5142857142857142,0.182
2.1,-0.05,0.5571428571428572,0.202
2.1,-0.05,0.6,0.2315
2.4,-0.2,0.0,0.0345
2.4,-0.2,0.04285714285714286,0.043
2.4,-0.2,0.08571428571428572,0.069
2.4,-0.2,0.12857142857142856,0.088
2.4,-0.2,0.17142857142857143,0.1005
2.4,-0.2,0.2142857142857143,0.115
2.4,-0.2,0.2571428571428571,0.133
2.4,-0.2,0.3,0.1465
2.4,-0.2,0.34285714285714286,0.161
2.4,-0.2,0.38571428571428573,0.1825
2.4,-0.2,0.4285714285714286,0.192
2.4,-0.2,0.4714285714285714,0.2115
2.4,-0.2,0.5142857142857142,0.2215
2.4,-0.2,0.5571428571428572,0.251
2.4,-0.2,0.6,0.2625
2.4,-0.1,0.0,0.0325
2.4,-0.1,0.04285714285714286,0.05
2.4,-0.1,0.08571428571428572,0.059
2.4,-0.1,0.12857142857142856,0.077
2.4,-0.1,0.17142857142857143,0.092
2.4,-0.1,0.2142857142857143,0.101
2.4,-0.1,0.2571428571428571,0.1065
2.4,-0.1,0.3,0.131
2.4,-0.1,0.34285714285714286,0.1385
2.4,-0.1,0.38571428571428573,0.149
2.4,-0.1,0.4285714285714286,0.1645
2.4,-0.1,0.4714285714285714,0.1815
2.4,-0.1,0.5142857142857142,0.1965
2.4,-0.1,0.5571428571428572,0.2035
2.4,-0.1,0.6,0.2155
2.4,0.0,0.0,0.038
2.4,0.0,0.04285714285714286,0.053
2.4,0.0,0.08571428571428572,0.059
2.4,0.0,0.12857142857142856,0.0695
2.4,0.0,0.17142857142857143,0.0805
2.4,0.0,0.2142857142857143,0.098
2.4,0.0,0.2571428571428571,0.1085
2.4,0.0,0.3,0.1175
2.4,0.0,0.34285714285714286,0.119
2.4,0.0,0.38571428571428573,0.137
2.4,0.0,0.4285714285714286,0.153
2.4,0.0,0.4714285714285714,0.1645
2.4,0.0,0.5142857142857142,0.171
2.4,0.0,0.5571428571428572,0.1815
2.4,0.0,0.6,0.1945
2.4,0.1,0.0,0.0405
2.4,0.1,0.04285714285714286,0.0415
2.4,0.1,0.08571428571428572,0.051
2.4,0.1,0.12857142857142856,0.064
2.4,0.1,0.17142857142857143,0.066
2.4,0.1,0.2142857142857143,0.076
2.4,0.1,0.2571428571428571,0.087
2.4,0.1,0.3,0.098
2.4,0.1,0.34285714285714286,0.103
2.4,0.1,0.38571428571428573,0.122
2.4,0.1,0.4285714285714286,0.1255
2.4,0.1,0.4714285714285714,0.1475
2.4,0.1,0.5142857142857142,0.1445
2.4,0.1,0.5571428571428572,0.1525
2.4,0.1,0.6,0.1725
2.4,0.2,0.0,0.038
2.4,0.2,0.04285714285714286,0.042
2.4,0.2,0.08571428571428572,0.05
2.4,0.2,0.12857142857142856,0.049
2.4,0.2,0.17142857142857143,0.062
2.4,0.2,0.2142857142857143,0.06
2.4,0.2,0.2571428571428571,0.0715
2.4,0.2,0.3,0.0795
2.4,0.2,0.34285714285714286,0.081
2.4,0.2,0.38571428571428573,0.089
2.4,0.2,0.4285714285714286,0.1
2.4,0.2,0.4714285714285714,0.1055
2.4,0.2,0.5142857142857142,0.119
2.4,0.2,0.5571428571428572,0.1255
2.4,0.2,0.6,0.129
3.1,-0.15,0.0,0.0345
3.1,-0.15,0.04285714285714286,0.048
3.1,-0.15,0.08571428571428572,0.0595
3.1,-0.15,0.12857142857142856,0.063
3.1,-0.15,0.17142857142857143,0.067
3.1,-0.15,0.2142857142857143,0.077
3.1,-0.15,0.2571428571428571,0.087
3.1,-0.15,0.3,0.083
3.1,-0.15,0.34285714285714286,0.0865
3.1,-0.15,0.38571428571428573,0.0815
3.1,-0.15,0.4285714285714286,0.087
3.1,-0.15,0.4714285714285714,0.0905
3.1,-0.15,0.5142857142857142,0.089
3.1,-0.15,0.5571428571428572,0.084
3.1,-0.15,0.6,0.0895
3.1,-0.05,0.0,0.048
3.1,-0.05,0.04285714285714286,0.05
3.1,-0.05,0.08571428571428572,0.055
3.1,-0.05,0.12857142857142856,0.061
3.1,-0.05,0.17142857142857143,0.0675
3.1,-0.05,0.2142857142857143,0.0785
3.1,-0.05,0.2571428571428571,0.079
3.1,-0.05,0.3,0.0735
3.1,-0.05,0.34285714285714286,0.082
3.1,-0.05,0.38571428571428573,0.0775
3.1,-0.05,0.4285714285714286,0.076
3.1,-0.05,0.4714285714285714,0.0815
3.1,-0.05,0.5142857142857142,0.0825
3.1,-0.05,0.5571428571428572,0.0765
3.1,-0.05,0.6,0.08
3.1,0.0,0.0,0.0475
3.1,0.0,0.04285714285714286,0.0435
3.1,0.0,0.08571428571428572,0.0595
3.1,0.0,0.12857142857142856,0.063
3.1,0.0,0.17142857142857143,0.067
3.1,0.0,0.2142857142857143,0.078
3.1,0.0,0.2571428571428571,0.0765
3.1,0.0,0.3,0.0745
3.1,0.0,0.34285714285714286,0.0765
3.1,0.0,0.38571428571428573,0.079
3.1,0.0,0.4285714285714286,0.076
3.1,0.0,0.4714285714285714,0.082
3.1,0.0,0.5142857142857142,0.075
3.1,0.0,0.5571428571428572,0.083
3.1,0.0,0.6,0.0815
3.1,0.3,0.0,0.0425
3.1,0.3,0.04285714285714286,0.0435
3.1,0.3,0.08571428571428572,0.046
3.1,0.3,0.12857142857142856,0.048
3.1,0.3,0.17142857142857143,0.0465
3.1,0.3,0.2142857142857143,0.0555
3.1,0.3,0.2571428571428571,0.054
3.1,0.3,0.3,0.052
3.1,0.3,0.34285714285714286,0.0575
3.1,0.3,0.38571428571428573,0.057
3.1,0.3,0.4285714285714286,0.053
3.1,0.3,0.4714285714285714,0.0565
3.1,0.3,0.5142857142857142,0.0555
3.1,0.3,0.5571428571428572,0.061
3.1,0.3,0.6,0.054
