alpha,r_kk,rho_kx,frac_majority_illusion
2.1,-0.35,0.0,0.024
2.1,-0.35,0.6,0.269
2.1,-0.25,0.0,0.028
2.1,-0.25,0.6,0.253
2.1,-0.15,0.0,0.029
2.1,-0.15,0.6,0.221
2.1,-0.05,0.0,0.028
2.1,-0.05,0.6,0.176
2.4,-0.2,0.0,0.032
2.4,-0.2,0.6,0.236
2.4,-0.1,0.0,0.034
2.4,-0.1,0.6,0.206
2.4,0.0,0.0,0.04
2.4,0.0,0.6,0.172
2.4,0.1,0.0,0.039
2.4,0.1,0.6,0.148
2.4,0.2,0.0,0.035
2.4,0.2,0.6,0.111
3.1,-0.15,0.0,0.046
3.1,-0.15,0.6,0.16
3.1,-0.05,0.0,0.036
3.1,-0.05,0.6,0.147
3.1,0.0,0.0,0.04
3.1,0.0,0.6,0.131
3.1,0.3,0.0,0.043
3.1,0.3,0.6,0.087
