alpha,r_kk,rho_kx,frac_majority_illusion
2.1,-0.35,0.0,0.024
2.1,-0.35,0.1,0.081
2.1,-0.35,0.2,0.114
2.1,-0.35,0.30000000000000004,0.16
2.1,-0.35,0.4,0.197
2.1,-0.35,0.5,0.236
2.1,-0.35,0.6000000000000001,0.275
2.1,-0.35,0.7000000000000001,0.265
2.1,-0.35,0.8,0.263
2.1,-0.35,0.9,0.278
2.1,-0.25,0.0,0.03
2.1,-0.25,0.1,0.066
2.1,-0.25,0.2,0.108
2.1,-0.25,0.30000000000000004,0.125
2.1,-0.25,0.4,0.159
2.1,-0.25,0.5,0.211
2.1,-0.25,0.6000000000000001,0.23
2.1,-0.25,0.7000000000000001,0.289
2.1,-0.25,0.8,0.251
2.1,-0.25,0.9,0.266
2.1,-0.15,0.0,0.037
2.1,-0.15,0.1,0.07
2.1,-0.15,0.2,0.109
2.1,-0.15,0.30000000000000004,0.112
2.1,-0.15,0.4,0.151
2.1,-0.15,0.5,0.176
2.1,-0.15,0.6000000000000001,0.204
2.1,-0.15,0.7000000000000001,0.21
2.1,-0.15,0.8,0.224
2.1,-0.15,0.9,0.209
2.1,-0.05,0.0,0.032
2.1,-0.05,0.1,0.06
2.1,-0.05,0.2,0.087
2.1,-0.05,0.30000000000000004,0.11
2.1,-0.05,0.4,0.147
2.1,-0.05,0.5,0.148
2.1,-0.05,0.6000000000000001,0.186
2.1,-0.05,0.7000000000000001,0.196
2.1,-0.05,0.8,0.199
2.1,-0.05,0.9,0.187
2.4,-0.2,0.0,0.035
2.4,-0.2,0.1,0.075
2.4,-0.2,0.2,0.096
2.4,-0.2,0.30000000000000004,0.128
2.4,-0.2,0.4,0.169
2.4,-0.2,0.5,0.183
2.4,-0.2,0.6000000000000001,0.222
2.4,-0.2,0.7000000000000001,0.246
2.4,-0.2,0.8,0.235
2.4,-0.2,0.9,0.25
2.4,-0.1,0.0,0.036
2.4,-0.1,0.1,0.061
2.4,-0.1,0.2,0.082
2.4,-0.1,0.30000000000000004,0.106
2.4,-0.1,0.4,0.146
2.4,-0.1,0.5,0.17
2.4,-0.1,0.6000000000000001,0.191
2.4,-0.1,0.7000000000000001,0.227
2.4,-0.1,0.8,0.213
2.4,-0.1,0.9,0.206
2.4,0.0,0.0,0.036
2.4,0.0,0.1,0.066
2.4,0.0,0.2,0.079
2.4,0.0,0.30000000000000004,0.102
2.4,0.0,0.4,0.128
2.4,0.0,0.5,0.151
2.4,0.0,0.6000000000000001,0.192
2.4,0.0,0.7000000000000001,0.186
2.4,0.0,0.8,0.182
2.4,0.0,0.9,0.181
2.4,0.1,0.0,0.037
2.4,0.1,0.1,0.052
2.4,0.1,0.2,0.072
2.4,0.1,0.30000000000000004,0.099
2.4,0.1,0.4,0.114
2.4,0.1,0.5,0.138
2.4,0.1,0.6000000000000001,0.154
2.4,0.1,0.7000000000000001,0.157
2.4,0.1,0.8,0.177
2.4,0.1,0.9,0.171
2.4,0.2,0.0,0.043
2.4,0.2,0.1,0.053
2.4,0.2,0.2,0.061
2.4,0.2,0.30000000000000004,0.079
2.4,0.2,0.4,0.106
2.4,0.2,0.5,0.114
2.4,0.2,0.6000000000000001,0.125
2.4,0.2,0.7000000000000001,0.14
2.4,0.2,0.8,0.147
2.4,0.2,0.9,0.149
3.1,-0.15,0.0,0.049
3.1,-0.15,0.1,0.054
3.1,-0.15,0.2,0.078
3.1,-0.15,0.30000000000000004,0.094
3.1,-0.15,0.4,0.129
3.1,-0.15,0.5,0.148
3.1,-0.15,0.6000000000000001,0.159
3.1,-0.15,0.7000000000000001,0.163
3.1,-0.15,0.8,0.169
3.1,-0.15,0.9,0.17
3.1,-0.05,0.0,0.04
3.1,-0.05,0.1,0.058
3.1,-0.05,0.2,0.069
3.1,-0.05,0.30000000000000004,0.091
3.1,-0.05,0.4,0.103
3.1,-0.05,0.5,0.115
3.1,-0.05,0.6000000000000001,0.129
3.1,-0.05,0.7000000000000001,0.148
3.1,-0.05,0.8,0.149
3.1,-0.05,0.9,0.142
3.1,0.0,0.0,0.044
3.1,0.0,0.1,0.066
3.1,0.0,0.2,0.071
3.1,0.0,0.30000000000000004,0.09
3.1,0.0,0.4,0.106
3.1,0.0,0.5,0.117
3.1,0.0,0.6000000000000001,0.131
3.1,0.0,0.7000000000000001,0.15
3.1,0.0,0.8,0.142
3.1,0.0,0.9,0.146
3.1,0.3,0.0,0.036
3.1,0.3,0.1,0.056
3.1,0.3,0.2,0.057
3.1,0.3,0.30000000000000004,0.065
3.1,0.3,0.4,0.068
3.1,0.3,0.5,0.076
3.1,0.3,0.6000000000000001,0.074
3.1,0.3,0.7000000000000001,0.094
3.1,0.3,0.8,0.091
3.1,0.3,0.9,0.083
